XDate	XEUR
10.11.2013	26.97
11.11.2013	27.00
12.11.2013	27.01
13.11.2013	27.06
14.11.2013	27.17
15.11.2013	27.15
16.11.2013	27.15
17.11.2013	27.15
18.11.2013	27.13
19.11.2013	27.35
20.11.2013	27.33
21.11.2013	27.20
22.11.2013	27.25
23.11.2013	27.25
24.11.2013	27.25
25.11.2013	27.27
26.11.2013	27.33
27.11.2013	27.34
28.11.2013	27.35
29.11.2013	27.39
30.11.2013	27.39
1.12.2013	27.39
2.12.2013	27.41
3.12.2013	27.46
4.12.2013	27.45
5.12.2013	27.45
6.12.2013	27.49
7.12.2013	27.49
8.12.2013	27.49
9.12.2013	27.50
10.12.2013	27.45
11.12.2013	27.43
12.12.2013	27.48
13.12.2013	27.54
14.12.2013	27.54
15.12.2013	27.54
16.12.2013	27.59
17.12.2013	27.66
18.12.2013	27.72
19.12.2013	27.65
20.12.2013	27.66
21.12.2013	27.66
22.12.2013	27.66
23.12.2013	27.57
24.12.2013	27.57
25.12.2013	27.57
26.12.2013	27.57
27.12.2013	27.44
28.12.2013	27.44
29.12.2013	27.44
30.12.2013	27.45
31.12.2013	27.43
